group,actor_mode,critic_mode,seed,task_idx,env,run_id,n_evals,best_success,end_success,mean_success_during_training,auc_success,stability,cell
for_real,persistent,cka,97,5,sawyer_handle_press_side,h058caag,159.0,0.1,0.1,0.005031446540880504,0.004746835443037975,1.0,actor=persistent-critic=cka
for_real,persistent,cka,97,6,sawyer_push,bixyzd8z,159.0,1.0,1.0,0.4314465408805031,0.4310126582278481,1.0,actor=persistent-critic=cka
for_real,persistent,cka,97,7,sawyer_shelf_place,6uufgp8l,159.0,0.7,0.3,0.08113207547169811,0.08069620253164557,0.4285714285714286,actor=persistent-critic=cka
for_real,persistent,cka,97,8,sawyer_window_close,iejx2lbs,159.0,0.5,0.0,0.04654088050314466,0.04683544303797468,0.0,actor=persistent-critic=cka
for_real,persistent,cka,97,9,sawyer_peg_unplug_side,el8hecfs,159.0,0.7,0.2,0.2528301886792453,0.25348101265822787,0.28571428571428575,actor=persistent-critic=cka
for_real,persistent,cka,98,0,sawyer_hammer,sqerbyvs,159.0,1.0,0.9,0.7484276729559748,0.7471518987341772,0.9,actor=persistent-critic=cka
for_real,persistent,cka,98,1,sawyer_push_wall,5ovw7ece,159.0,1.0,1.0,0.3779874213836478,0.37721518987341773,1.0,actor=persistent-critic=cka
for_real,persistent,cka,98,2,sawyer_faucet_close,f2tpr0zu,159.0,0.8,0.1,0.38805031446540883,0.3879746835443038,0.125,actor=persistent-critic=cka
for_real,persistent,cka,98,3,sawyer_push_back,ivev955e,159.0,1.0,0.9,0.8345911949685536,0.8363924050632912,0.9,actor=persistent-critic=cka
for_real,persistent,cka,98,4,sawyer_stick_pull,uu5rcepo,159.0,1.0,0.7,0.459119496855346,0.4598101265822785,0.7,actor=persistent-critic=cka
for_real,persistent,cka,98,5,sawyer_handle_press_side,0ax1ox3v,159.0,0.1,0.0,0.009433962264150943,0.00949367088607595,0.0,actor=persistent-critic=cka
for_real,persistent,cka,98,6,sawyer_push,fcun3spl,159.0,1.0,0.2,0.5157232704402516,0.5183544303797468,0.2,actor=persistent-critic=cka
for_real,persistent,cka,98,7,sawyer_shelf_place,ayt5t7sk,159.0,1.0,0.3,0.36792452830188677,0.36930379746835446,0.3,actor=persistent-critic=cka
for_real,persistent,cka,98,8,sawyer_window_close,pxtw7l2t,159.0,0.4,0.1,0.06415094339622641,0.06424050632911392,0.25,actor=persistent-critic=cka
for_real,persistent,cka,98,9,sawyer_peg_unplug_side,1lcajtgd,159.0,0.7,0.1,0.20062893081761005,0.20126582278481012,0.14285714285714288,actor=persistent-critic=cka
for_real,persistent,cka,99,0,sawyer_hammer,kv57vv4q,159.0,1.0,1.0,0.9276729559748429,0.9300632911392405,1.0,actor=persistent-critic=cka
for_real,persistent,cka,99,1,sawyer_push_wall,x092m17g,159.0,1.0,0.1,0.4968553459119497,0.49968354430379747,0.1,actor=persistent-critic=cka
for_real,persistent,cka,99,2,sawyer_faucet_close,sg67qnox,159.0,0.9,0.3,0.39308176100628933,0.39272151898734176,0.3333333333333333,actor=persistent-critic=cka
for_real,persistent,cka,99,3,sawyer_push_back,0woff2qb,159.0,1.0,0.9,0.6553459119496856,0.6566455696202531,0.9,actor=persistent-critic=cka
for_real,persistent,cka,99,4,sawyer_stick_pull,8y2o947l,159.0,1.0,0.6,0.7157232704402516,0.7183544303797469,0.6,actor=persistent-critic=cka
for_real,persistent,cka,99,5,sawyer_handle_press_side,cj3gyz70,159.0,0.1,0.0,0.006918238993710692,0.006962025316455696,0.0,actor=persistent-critic=cka
for_real,persistent,cka,99,6,sawyer_push,vzsjuhek,159.0,0.9,0.3,0.3138364779874214,0.314873417721519,0.3333333333333333,actor=persistent-critic=cka
for_real,persistent,cka,99,7,sawyer_shelf_place,acn1nwt4,159.0,0.7,0.4,0.08364779874213836,0.08291139240506329,0.5714285714285715,actor=persistent-critic=cka
for_real,persistent,cka,99,8,sawyer_window_close,598gf5db,159.0,0.2,0.0,0.01761006289308176,0.01740506329113924,0.0,actor=persistent-critic=cka
for_real,persistent,cka,99,9,sawyer_peg_unplug_side,0yh4ije4,159.0,0.6,0.2,0.1867924528301887,0.18734177215189873,0.33333333333333337,actor=persistent-critic=cka
for_real,persistent,cka,100,0,sawyer_hammer,0x0d8h8r,159.0,1.0,0.6,0.8628930817610062,0.864240506329114,0.6,actor=persistent-critic=cka
for_real,persistent,cka,100,1,sawyer_push_wall,b07x9dd5,159.0,1.0,0.6,0.7930817610062894,0.7962025316455696,0.6,actor=persistent-critic=cka
for_real,persistent,cka,100,2,sawyer_faucet_close,j0a6m327,159.0,0.8,0.5,0.3729559748427673,0.37151898734177213,0.625,actor=persistent-critic=cka
for_real,persistent,cka,100,3,sawyer_push_back,zvhtt6rb,159.0,1.0,0.4,0.6446540880503144,0.6474683544303798,0.4,actor=persistent-critic=cka
for_real,persistent,cka,100,4,sawyer_stick_pull,tad9kadp,159.0,1.0,0.7,0.6056603773584907,0.6072784810126582,0.7,actor=persistent-critic=cka
for_real,persistent,cka,100,5,sawyer_handle_press_side,so018f03,159.0,0.1,0.0,0.007547169811320756,0.007594936708860759,0.0,actor=persistent-critic=cka
for_real,persistent,cka,100,6,sawyer_push,hqhnjb2f,159.0,1.0,0.9,0.6056603773584904,0.6066455696202532,0.9,actor=persistent-critic=cka
for_real,persistent,cka,100,7,sawyer_shelf_place,r6ahgts0,159.0,0.0,0.0,0.0,0.0,0.0,actor=persistent-critic=cka
for_real,persistent,cka,101,0,sawyer_hammer,97ew5ne0,159.0,1.0,0.8,0.8257861635220125,0.8253164556962025,0.8,actor=persistent-critic=cka
for_real,persistent,cka,101,1,sawyer_push_wall,s2ab6ph4,159.0,1.0,0.7,0.43836477987421396,0.4389240506329114,0.7,actor=persistent-critic=cka
for_real,persistent,cka,101,2,sawyer_faucet_close,446sswwh,159.0,0.8,0.3,0.31320754716981136,0.31265822784810127,0.37499999999999994,actor=persistent-critic=cka
for_real,persistent,cka,101,3,sawyer_push_back,cfd0zmgx,159.0,1.0,0.9,0.5886792452830188,0.5895569620253165,0.9,actor=persistent-critic=cka
for_real,persistent,cka,101,4,sawyer_stick_pull,1kvo2qmr,159.0,1.0,1.0,0.6169811320754717,0.6177215189873417,1.0,actor=persistent-critic=cka
