cell,group,actor_mode,critic_mode,task_idx,env,best_success_mean,best_success_std,best_success_sem,best_success_n,end_success_mean,end_success_std,end_success_sem,end_success_n,mean_success_during_training_mean,mean_success_during_training_std,mean_success_during_training_sem,mean_success_during_training_n,auc_success_mean,auc_success_std,auc_success_sem,auc_success_n,stability_mean,stability_std,stability_sem,stability_n,seeds
actor=cka-critic=reset,real2,cka,reset,0,sawyer_hammer,1.0,0.0,0.0,5,0.86,0.11401754250991382,0.050990195135927854,5,0.8249056603773586,0.0674036633053775,0.030143834616666452,5,0.8253164556962025,0.06805563503503903,0.030435405238052708,5,0.86,0.11401754250991382,0.050990195135927854,5,"97,98,99,100,101"
actor=cka-critic=reset,for_real,cka,reset,1,sawyer_push_wall,1.0,0.0,0.0,5,0.8400000000000001,0.1816590212458495,0.08124038404635961,5,0.5881761006289309,0.1726065080052063,0.07719197705170058,5,0.589240506329114,0.17315751868700385,0.07743839651986614,5,0.8400000000000001,0.1816590212458495,0.08124038404635961,5,"97,98,99,100,101"
actor=cka-critic=reset,real1,cka,reset,1,sawyer_push_wall,1.0,0.0,0.0,5,0.72,0.30331501776206204,0.13564659966250536,5,0.5174842767295597,0.04030656620577669,0.01802564439514249,5,0.5184810126582278,0.04050237322455343,0.018113211956033767,5,0.72,0.30331501776206204,0.13564659966250536,5,"97,98,99,100,101"
actor=cka-critic=reset,real2,cka,reset,1,sawyer_push_wall,1.0,0.0,0.0,4,0.675,0.39475730941090037,0.19737865470545018,4,0.5323899371069183,0.14811509922367777,0.07405754961183889,4,0.533623417721519,0.14800169193122836,0.07400084596561418,4,0.675,0.39475730941090037,0.19737865470545018,4,"97,98,99,101"
actor=cka-critic=reset,for_real,cka,reset,2,sawyer_faucet_close,0.8600000000000001,0.0547722557505166,0.024494897427831775,5,0.5399999999999999,0.13416407864998736,0.05999999999999999,5,0.40050314465408804,0.02979101290628103,0.01332294599540359,5,0.400126582278481,0.02934058029929387,0.013121506409702442,5,0.6277777777777778,0.14907119849998593,0.06666666666666664,5,"97,98,99,100,101"
actor=cka-critic=reset,real1,cka,reset,2,sawyer_faucet_close,0.9200000000000002,0.04472135954999579,0.019999999999999997,5,0.52,0.10954451150103321,0.04898979485566356,5,0.4327044025157233,0.03491274221321163,0.015613452973933533,5,0.4320886075949367,0.03510490835496482,0.01569939228512033,5,0.5644444444444445,0.11287488977066924,0.05047918529600241,5,"97,98,99,100,101"
actor=cka-critic=reset,real2,cka,reset,2,sawyer_faucet_close,0.875,0.04999999999999999,0.024999999999999994,4,0.475,0.12583057392117916,0.06291528696058958,4,0.4391509433962264,0.03824731993098872,0.01912365996549436,4,0.43900316455696203,0.03796006663133155,0.018980033315665775,4,0.5381944444444444,0.1207481607013424,0.0603740803506712,4,"97,98,99,101"
actor=cka-critic=reset,for_real,cka,reset,3,sawyer_push_back,1.0,0.0,0.0,5,0.9199999999999999,0.130384048104053,0.05830951894845301,5,0.8155974842767295,0.05513359791382481,0.02465649455589057,5,0.8178481012658227,0.05567309287536705,0.02489776403739599,5,0.9199999999999999,0.130384048104053,0.05830951894845301,5,"97,98,99,100,101"
actor=cka-critic=reset,real1,cka,reset,3,sawyer_push_back,1.0,0.0,0.0,5,0.8399999999999999,0.2073644135332772,0.09273618495495703,5,0.8044025157232706,0.06135380499436766,0.02743825572913444,5,0.8068354430379747,0.06198518140901586,0.027720615845643132,5,0.8399999999999999,0.2073644135332772,0.09273618495495703,5,"97,98,99,100,101"
actor=cka-critic=reset,real2,cka,reset,3,sawyer_push_back,1.0,0.0,0.0,4,0.875,0.25,0.125,4,0.8031446540880504,0.0422680191900544,0.0211340095950272,4,0.8054588607594937,0.04190250645886373,0.020951253229431865,4,0.875,0.25,0.125,4,"97,98,99,101"
actor=cka-critic=reset,for_real,cka,reset,4,sawyer_stick_pull,1.0,0.0,0.0,5,0.7,0.3464101615137755,0.1549193338482967,5,0.5716981132075472,0.08423799917333552,0.03767237848802986,5,0.5731012658227849,0.08405458851451535,0.037590354747845875,5,0.7,0.3464101615137755,0.1549193338482967,5,"97,98,99,100,101"
actor=cka-critic=reset,real1,cka,reset,4,sawyer_stick_pull,0.9800000000000001,0.04472135954999579,0.019999999999999997,5,0.6,0.25495097567963926,0.1140175425099138,5,0.45194968553459125,0.06315918547872373,0.02824564642678877,5,0.45259493670886075,0.06317291172771496,0.028251784991952866,5,0.6088888888888888,0.24688178807670405,0.11040889210924146,5,"97,98,99,100,101"
actor=cka-critic=reset,real2,cka,reset,4,sawyer_stick_pull,1.0,0.0,0.0,4,0.6000000000000001,0.282842712474619,0.1414213562373095,4,0.5974842767295597,0.03565913870191716,0.01782956935095858,4,0.5988924050632911,0.035263162457473386,0.017631581228736693,4,0.6000000000000001,0.282842712474619,0.1414213562373095,4,"97,98,99,101"
actor=cka-critic=reset,for_real,cka,reset,5,sawyer_handle_press_side,0.3,0.0,0.0,3,0.0,0.0,0.0,3,0.02557651991614256,0.00604341102951764,0.0034891649847155633,3,0.02552742616033755,0.006252169414657149,0.00360969169457145,3,0.0,0.0,0.0,3,"97,98,99"
actor=cka-critic=reset,real1,cka,reset,5,sawyer_handle_press_side,0.26,0.0547722557505166,0.024494897427831775,5,0.0,0.0,0.0,5,0.025660377358490572,0.005417573702480008,0.002422812614372104,5,0.025759493670886074,0.005560982945946531,0.0024869471777706964,5,0.0,0.0,0.0,5,"97,98,99,100,101"
