figure,series,env_steps,n_hover,press_minus_pi,press_rank,grad_cos,std_a,std_s,std_a_over_std_s,panel,feature,accuracy_drop,baseline_accuracy,n_pairs,delta_mm,success,her_succ,her_prog,her_succ_or_prog
inject,handle,286500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,288000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,289500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,291000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,292500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,294000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,295500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,297000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,298500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,300000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,301500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,303000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,304500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,306000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,307500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,309000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,310500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,312000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,313500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,315000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,316500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,318000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,319500,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,321000,,,,,,,,her,,,,,,,0.04,0.0,0.04
